"","geneID","Polr_2048_1","Polr_2048_2","Polr_2048_3","Polr_2048_11","Polr_2138_1","Polr_2138_2","Polr_2138_3","Polr_2138_4","Polr_2138_6","Polr_2138_7"
"1","4930506M07Rik",4.65263070000237,3.89737377021371,5.15595247693594,3.43990974243369,4.90034133080083,5.00667198924906,4.62959455018654,5.1175206581342,4.7130011896172,5.03082541050251
"2","Amd2",3.59915108743358,4.29188657790982,3.39622686143496,4.33183962688234,3.06486833316576,3.27846756202837,3.31033841976136,3.07457249634832,2.96053371894338,3.0898146080111
"3","Arl4d",3.94342139931061,1.66177337190937,3.73805979743019,1.38926257509645,3.64203826048396,4.01250266147006,3.27454564271817,3.95051609283924,3.27051406559034,3.04910963810326
"4","Bcl11b",7.58111074029652,7.00252851246779,7.88580046926239,6.54947767309269,7.93109695365076,8.12426109468398,7.6811843742063,8.07012312872737,7.46651703852425,7.60225887373634
"5","Bmper",4.21968623219185,3.28309008710146,4.43417069583439,2.86192404887164,4.34047453078448,3.97930834251331,3.84858831939633,3.96701417714237,4.17842128961385,3.92828933635633
"6","C1qb",2.94247867980042,3.99034271808165,2.41435691412599,4.04238032324906,2.72599707021862,2.71948797051906,3.6281333736154,3.25089962501342,3.4256543877929,3.92979490851387
"7","Ccng1",5.43259817058727,6.49952538205869,5.43334788057817,6.11878523559091,5.43533475586384,5.82428764271183,6.53335676946761,5.35288492466609,6.50262935318647,6.4449498751713
"8","Cdkn1a",4.07673467240385,5.21517666945142,3.65373419825704,4.48187527650441,4.10730223363959,3.64110533206049,4.99018135701162,4.20015303275285,4.88918720737081,5.04231540971494
"9","Dhx30",3.32930798767061,5.37130287862097,4.24159921080588,5.63102285852247,1.26295194806141,2.11534009894386,4.093078568357,3.26537223107507,4.65457138240478,5.41966894913966
"10","Dkk2",4.47380936185935,5.12734098209368,3.92984288230083,5.41604320135833,4.40296224111692,4.02309144259739,4.75086755618698,4.54306702428829,4.87751709142655,5.06093208403817
"11","Dlx1",8.08154831612037,6.60754393913734,8.18518070857116,6.80293347957504,7.96677463975436,8.10240277600116,7.65362964938192,7.98739714280164,7.66206696863592,7.73181370181817
"12","Dlx2",7.09074683230789,5.75746190899958,7.40711961782816,5.29314297623022,6.97985695343135,7.15836069616839,6.22336175854376,6.77127526903121,6.7152958832074,6.36816049418579
"13","Dlx5",5.42144864953639,4.36076205491344,5.76187716173359,4.40301011111667,5.27362455681572,5.47059605379841,4.88197096839412,5.36932513604971,5.21059426456273,4.86471142207136
"14","Eda2r",1.14578372229654,3.53546261725746,0.89378367005524,2.84901801922944,1.65213409418742,1.57961380105242,3.99855228520562,0.413990783832947,3.81485758599515,3.81010512347124
"15","Fam65b",5.18975159920955,4.34064598989995,5.23006167565179,4.27040104151137,5.34777468637929,5.59887618852153,5.31841471706308,5.3958238791006,5.09766295139572,5.29935933656454
"16","Fcrls",2.3632217958604,3.12744336398479,2.13929623526993,3.17657082904311,2.51846482929178,2.56476160312434,3.78674715317854,2.72968356367987,3.227388788766,3.62515293752575
"17","Fgd3",4.14950861895479,3.41339356661273,4.43564383225395,2.85548561965515,4.23448282629156,4.52433296698091,3.8372105129204,4.32919681378573,4.18613947067079,4.03953960719041
"18","Foxg1",8.80052791292806,8.2034477365837,8.90866127331341,7.35569412350478,8.86033344653798,8.74663616824784,8.30561560270709,8.93055272699786,8.51917134924191,8.12691921788156
"19","Fzd8",7.16899404785336,6.36331654575014,7.15905734085634,5.71433917032961,6.83479664420424,7.01838765655255,6.23294892567072,7.03325296978547,6.86839889618082,6.5212201545566
"20","Gad2",7.14756572157219,5.97938175443847,7.39085479892955,5.76781944211439,7.09558934186465,7.00385277944099,7.02696137949924,7.09062413399173,6.62225883390307,6.72977670588389
"21","Gm10401",-5.08024122061135,1.18922028917472,-5.29698177438022,1.01845674737678,-5.24645098493996,-4.73049496148332,1.60859172504638,1.02973023783776,1.48479568648441,1.14984475071138
"22","Gm13889",5.32584373958834,3.7696867680052,5.14813355939304,3.78653999616605,4.94535270177961,5.18308035403526,4.49082130814002,5.21400755201139,4.7733196864709,4.34172180755448
"23","Grik3",6.87361287933572,5.89462317656212,7.04316836944228,5.61307965818221,6.77121538178955,7.26578568396797,6.74154343680308,6.71034832972288,6.81079175583709,6.71158388349065
"24","Lhx6",5.60067212681929,3.53410697474114,6.34889629356504,3.31134385276681,5.58487601871182,6.32407978395668,5.63485193900689,5.37145134514846,5.76489601595076,5.43484326855719
"25","Lhx8",4.39801671008362,1.92734168298175,4.34428114035657,-0.645182214683429,3.55394183814622,4.30509485982428,3.62943608160221,3.93995437746754,3.65053760871064,3.61253860217262
"26","Msx2",4.01460867518533,4.49149447443199,3.60686540906317,5.13332665749061,3.4470239854877,3.30876211106947,3.68273567331085,4.03024222234915,3.92816805475064,4.14875651546545
"27","Nkx2-1",6.75653753051704,4.41023919255388,7.04495830131629,5.470325441752,6.59629670573228,6.47701376255966,5.67311897050798,6.26125656586119,6.34367354231908,5.9732793752765
"28","Nr6a1",2.03395725521347,4.92557652771133,2.79236794488416,4.17439924091376,2.79662336190342,2.96712124635214,2.98290560026771,2.49412756152258,2.80098780770699,2.36573600926406
"29","Nrxn3",5.76781986248035,4.82370503373397,5.60439304714125,4.60698068173875,5.69152707103688,5.91311180987219,5.29339752663846,5.66967381101503,5.34036344503342,5.76847965848116
"30","Phlda3",3.0205480532308,3.6327202602805,2.46087091895698,3.17563243749219,2.95855007455476,2.51420380559466,3.94423957780071,3.14591852570814,3.71050159991118,4.00104298786878
"31","Plxna2",7.85928351028086,7.278135704033,8.27215509563196,6.87551908062394,8.25564830370991,8.35437229330485,8.07469928312223,8.23941829431112,7.91229153109205,7.62616048077846
"32","Ptpn3",1.92806457589544,3.58538562282964,2.82456316608516,4.08529966404294,2.29556684962279,1.16282651636957,1.92337347370652,2.27649731971315,2.28707807765904,2.35558050921663
"33","Rbp1",5.57069101693171,4.30439860777603,5.66445077865289,4.2996476758251,5.65068165249914,5.66812809315568,5.04827165478395,5.77009317185171,4.98191679409835,5.50691007582393
"34","Rnf43",2.06195837947823,1.70566683043869,0.895442546576556,2.05471225342889,1.19056063386166,0.516602491453312,3.28667610705433,0.992644046679709,2.9750974631909,4.40518214976341
"35","Rpl34",8.59203756225917,8.31015513496762,8.47260316193978,7.73651621168476,7.68578966686287,7.62657062855381,4.17723874190144,7.84737632698558,3.51126869876029,4.11905134625534
"36","Rreb1",4.68040970699653,5.70157622470639,5.07295998286942,5.97589773992427,4.44859436432809,4.31383883579518,5.11257518184248,4.86305337348783,4.30714634804688,4.79685951540248
"37","Rspo2",1.89002177858915,2.67261938669593,-0.375309254562416,3.26531479023964,1.84589806701204,0.840291218965044,3.29732245076926,1.78559849224496,3.51423483742199,3.53784425590849
"38","Sesn2",3.85935727721032,4.99962185450369,4.04813838337379,4.7042544517974,3.36117375524969,4.03053082947562,4.301026563612,3.72174295797693,4.72448269304885,4.50457994608622
"39","Sez6",6.60561519976272,6.11204842940434,7.04179748576179,6.00539634018006,7.22191002921381,7.23628569155794,6.9476237597575,7.43127684574783,6.81942427426453,6.72577596197303
"40","Slc18a2",4.71541075630004,3.93043080939283,4.86587551971732,3.50319375534217,4.69239185359883,4.61261584886913,4.18980949180418,4.76659747871275,4.38312165387026,4.54190235774231
"41","Slc32a1",5.55591515118636,4.37676378681606,5.42961453500291,4.57097166002348,5.39038321137106,5.54137652929908,5.22944958716533,5.50188798085572,5.38461575449945,5.49290286188827
"42","Sox8",3.88731677068718,2.38673662466641,4.33263569556725,1.18340083274978,4.1326120577132,3.77286485096212,3.39414128475243,4.18027083112484,3.56497712581175,3.36249698941748
"43","Stac2",2.78339093014283,1.04493917139252,3.16258530629282,0.845855678408361,2.50045640506616,2.94617774420093,2.2556509513432,2.54741228185391,2.34084511371505,2.19528136470733
"44","Tfeb",0.111170565887735,0.809413491599253,0.0876789825054317,0.952860962935951,0.750517417525871,0.0413825037359052,2.2883398356603,0.820358688787965,1.8270656047473,2.82799188815109
"45","Wnt8b",5.46318869626747,6.4993953457722,5.63339999884085,6.66255719638485,5.59969507151389,5.39895419439702,6.01243264629991,5.43916416956133,6.28243786285679,5.97790911975409
